transaction_id,user_id,amount,transaction_type,merchant
1,2781,550.59,Credit,Amazon
2,500,406.93,Debit,Swiggy
3,1723,436.51,Credit,Swiggy
4,3115,66.86,Credit,Zomato
5,2919,460.36,Credit,Amazon
6,3698,797.5,Debit,Zomato
7,3844,394.11,Credit,Swiggy
8,2565,389.75,Credit,Swiggy
9,2116,25.56,Credit,Uber
10,1764,463.26,Debit,Swiggy
11,2171,35.08,Debit,Flipkart
12,1709,574.65,Debit,Uber
13,336,511.72,Debit,Zomato
14,1177,841.61,Credit,Swiggy
15,3022,585.96,Debit,Flipkart
16,779,330.19,Credit,Uber
17,3741,521.07,Debit,Flipkart
18,1186,702.71,Credit,Uber
19,3286,103.02,Debit,Uber
20,1934,624.86,Debit,Uber
21,3448,917.46,Debit,Zomato
22,3992,306.14,Debit,Uber
23,1467,630.36,Credit,Uber
24,2471,823.12,Debit,Flipkart
25,1562,516.69,Debit,Uber
26,939,720.8,Debit,Zomato
27,804,317.9,Credit,Flipkart
28,3773,313.0,Debit,Uber
29,1936,670.91,Debit,Flipkart
30,634,708.35,Credit,Zomato
31,1254,937.64,Credit,Flipkart
32,1083,232.59,Credit,Zomato
33,2144,473.54,Debit,Swiggy
34,1286,258.01,Credit,Uber
35,354,89.29,Debit,Zomato
36,3384,409.2,Credit,Uber
37,1160,380.34,Debit,Zomato
38,1886,277.73,Credit,Amazon
39,1819,304.02,Credit,Amazon
40,967,366.81,Credit,Amazon
41,2971,988.95,Debit,Zomato
42,2521,785.13,Credit,Uber
43,3704,80.69,Debit,Amazon
44,2478,873.69,Credit,Uber
45,3023,636.97,Credit,Zomato
46,2585,891.69,Credit,Uber
47,3926,348.29,Debit,Uber
48,1170,469.87,Debit,Amazon
49,1548,897.26,Debit,Flipkart
50,2135,279.85,Credit,Swiggy
51,109,916.35,Debit,Zomato
52,3495,830.21,Debit,Zomato
53,1369,980.75,Credit,Zomato
54,3338,331.02,Credit,Swiggy
55,1758,243.4,Debit,Flipkart
56,3658,337.56,Debit,Uber
57,994,955.1,Credit,Zomato
58,1518,339.74,Debit,Uber
59,1357,569.56,Credit,Amazon
60,822,409.64,Credit,Amazon
61,3485,402.26,Debit,Amazon
62,3686,201.44,Debit,Zomato
63,937,541.71,Credit,Swiggy
64,3053,850.91,Debit,Zomato
65,2697,58.99,Credit,Amazon
66,191,890.33,Debit,Amazon
67,1997,668.82,Credit,Zomato
68,933,620.57,Debit,Swiggy
69,142,629.64,Debit,Swiggy
70,1893,303.31,Credit,Uber
71,3145,420.99,Debit,Flipkart
72,2888,801.3,Credit,Amazon
73,3239,313.32,Debit,Swiggy
74,2216,475.32,Debit,Amazon
75,566,29.44,Debit,Flipkart
76,1283,736.22,Debit,Amazon
77,1463,423.53,Credit,Swiggy
78,1135,530.11,Credit,Uber
79,744,123.54,Debit,Zomato
80,673,991.8,Credit,Zomato
81,2912,309.44,Credit,Swiggy
82,2887,638.64,Debit,Swiggy
83,531,585.42,Credit,Flipkart
84,1314,787.24,Credit,Amazon
85,3022,300.9,Debit,Flipkart
86,562,758.37,Debit,Zomato
87,1534,388.68,Debit,Amazon
88,2223,417.05,Debit,Flipkart
89,302,675.99,Credit,Zomato
90,3768,786.44,Debit,Amazon
91,185,670.2,Credit,Uber
92,3411,900.88,Credit,Uber
93,510,292.31,Debit,Flipkart
94,2867,901.61,Credit,Swiggy
95,1334,139.55,Credit,Amazon
96,3579,662.94,Credit,Flipkart
97,1370,552.15,Debit,Swiggy
98,3153,499.69,Credit,Swiggy
99,3446,317.8,Debit,Amazon
100,2204,508.7,Debit,Amazon
101,2835,170.16,Credit,Swiggy
102,795,375.63,Credit,Zomato
103,2480,107.69,Debit,Flipkart
104,1524,576.13,Debit,Amazon
105,761,104.81,Debit,Swiggy
106,2195,168.74,Debit,Zomato
107,2529,94.61,Debit,Uber
108,435,387.5,Credit,Swiggy
109,1543,843.54,Debit,Zomato
110,3741,907.83,Credit,Uber
111,2039,81.17,Debit,Zomato
112,1707,638.2,Credit,Amazon
113,69,687.54,Debit,Swiggy
114,1630,538.43,Credit,Uber
115,1905,670.32,Credit,Zomato
116,2923,241.35,Debit,Uber
117,3960,494.75,Credit,Flipkart
118,2234,396.97,Debit,Swiggy
119,2952,98.81,Debit,Amazon
120,2730,629.3,Credit,Uber
121,2252,500.26,Credit,Zomato
122,554,282.42,Debit,Uber
123,2061,478.95,Debit,Zomato
124,2714,777.55,Debit,Uber
125,1298,803.64,Credit,Amazon
126,3370,653.03,Credit,Amazon
127,2099,473.07,Debit,Swiggy
128,500,579.99,Credit,Amazon
129,2417,391.17,Credit,Uber
130,2772,135.29,Credit,Uber
131,3728,391.76,Debit,Amazon
132,2405,535.03,Debit,Flipkart
133,3075,602.85,Credit,Uber
134,3326,936.44,Credit,Swiggy
135,3547,779.56,Debit,Flipkart
136,2895,160.47,Credit,Amazon
137,1530,182.44,Debit,Zomato
138,2304,109.49,Debit,Uber
139,3682,740.8,Debit,Zomato
140,3757,709.06,Debit,Swiggy
141,3222,986.5,Debit,Flipkart
142,1512,526.8,Debit,Zomato
143,279,828.15,Debit,Swiggy
144,1083,580.68,Credit,Zomato
145,446,875.35,Debit,Zomato
146,2161,723.81,Credit,Swiggy
147,836,646.46,Credit,Uber
148,755,569.47,Credit,Zomato
149,1846,725.74,Debit,Swiggy
150,1593,425.46,Credit,Zomato
151,1513,105.61,Debit,Uber
152,1431,49.59,Debit,Swiggy
153,2415,484.23,Credit,Zomato
154,1084,603.3,Credit,Amazon
155,2377,88.06,Credit,Uber
156,2776,294.03,Credit,Zomato
157,3541,328.81,Debit,Flipkart
158,3817,567.17,Credit,Swiggy
159,3054,285.7,Credit,Zomato
160,1591,104.69,Credit,Uber
161,1909,173.21,Credit,Uber
162,2768,182.21,Credit,Flipkart
163,3135,844.27,Debit,Flipkart
