search_id,user_id,search_query,search_time
1,1758,how to code,2023-09-17
2,3469,news today,2023-10-01
3,3638,best laptop,2023-10-19
4,1874,news today,2023-10-18
5,1320,buy phone,2023-01-30
6,1407,buy phone,2023-09-09
7,3584,weather,2023-03-04
8,1419,weather,2023-03-23
9,1578,weather,2023-11-21
10,3677,best laptop,2023-06-18
11,1284,news today,2023-11-06
12,281,buy phone,2023-12-09
13,3428,news today,2023-06-07
14,2468,best laptop,2023-02-25
15,1216,news today,2023-12-01
16,637,news today,2023-05-22
17,1452,weather,2023-05-29
18,808,news today,2023-08-14
19,2396,news today,2023-01-25
20,429,news today,2023-06-27
21,1416,how to code,2023-12-31
22,3413,buy phone,2023-04-05
23,2595,buy phone,2023-02-22
24,2988,news today,2023-10-31
25,2450,weather,2023-03-11
26,3119,weather,2023-06-25
27,665,weather,2023-05-12
28,750,buy phone,2023-12-05
29,3497,best laptop,2023-12-04
30,3589,news today,2023-12-26
31,3008,buy phone,2023-11-27
32,637,weather,2023-08-01
33,2927,buy phone,2023-07-30
34,3400,buy phone,2023-12-11
35,2135,buy phone,2023-03-05
36,515,weather,2023-02-04
37,1004,best laptop,2023-01-12
38,3237,how to code,2023-12-12
39,3295,news today,2023-11-07
40,2909,news today,2023-09-05
41,1321,buy phone,2023-04-22
42,2964,best laptop,2023-11-21
43,2499,weather,2023-04-01
44,1367,how to code,2023-10-21
45,341,how to code,2023-01-29
46,1485,buy phone,2023-01-12
47,1416,buy phone,2023-05-27
48,3973,weather,2023-05-17
49,1561,weather,2023-12-04
50,1575,weather,2023-06-06
51,2469,buy phone,2023-09-16
52,2429,best laptop,2023-03-28
53,3689,buy phone,2023-06-07
54,2053,buy phone,2023-07-05
55,2696,how to code,2023-12-10
56,2028,weather,2023-11-05
57,3076,news today,2023-12-23
58,3753,weather,2023-08-17
59,316,best laptop,2023-01-04
60,1846,best laptop,2023-02-26
61,3990,weather,2023-01-28
62,1102,weather,2023-01-16
